row_id,english_question,bangla_question
1925,"Teacher Zhang organized students to measure the height of a large tree \(CD\) on a hillside during their break. As shown in the figure, the hillside makes an angle of \(30^{\circ}\) with the horizontal plane (i.e., \(∠MAN=30^{\circ}\)). At the bottom of the hillside at point \(A\), the angle of elevation to the top of the tree at point \(C\) is measured to be \(45^{\circ}\). Moving up the slope for \(20\) meters to point \(B\), the angle of elevation to point \(C\) is measured to be \(60^{\circ}\) (all points in the figure are in the same plane). Find the height of the tree \(CD\) (result accurate to \(0.1\) meters, reference data: \( \sqrt {3}≈1.732\)).",
1926,"The shaded part in the figure represents the set ( )
A. (∁_{U}A) ∩ B
B. A ∩ (∁_{U}B)
C. ∁_{U}(A ∩ B)
D. ∁_{U}(A ∪ B)",
1927,"Given the parabola $y_1 = \frac{1}{2}x^2 - 2x - 6$ intersecting the x-axis at A and B, and the y-axis at C, and a new parabola $y_2$ obtained by shifting $y_1$ 1 unit left and $m$ units up (where $m > 0$), such that the vertex of $y_2$ lies within triangle ABC, find the range of $m$ for which there exists a point Q on $y_2$ such that triangle QAC is isosceles with AC as the base.",
1928,"In the figure, ray AC is parallel to ray BD, ∠A = 70°, ∠B = 40°. Find the measure of ∠APB.",
1929,"Triangles ABE and ADC are formed by folding triangle ABC along edges AB and AC by 180 degrees. If the ratio of angles ∠1: ∠2: ∠3 = 13: 3: 2, what is the degree measure of angle ∠α?",
1930,"As shown in the figure, a taxi departs from point A and travels in a direction of 60° north of east to reach point B. After that, it travels in a direction of 50° south of east to reach point C, which is directly east of point A. Which of the following statements are correct? ( ) 
① B is 50° north of west from C; 
② The angle between roads AB and BC is 110°; 
③ A is 30° north of west from B; 
④ The angle between roads AC and BC is 50°.
A. ①②
B. ③④
C. ①③
D. ②④",
1931,"In the figure, points A, B, C, and D lie on the same circle. Which of the following statements is correct? ( )
A. ∠C + ∠D = 180°
B. When E is the center of the circle, ∠C = ∠D = 90°
C. If E is the midpoint of AB, then E must be the center of this circle
∠COD = 2∠CAD",
1932,"Given the ellipse $C_1: \frac{x^{2}}{11} + y^{2} = 1$ and the hyperbola $C_2: \frac{x^{2}}{a^{2}} - \frac{y^{2}}{b^{2}} = 1$ (where $a > 0$, $b > 0$), if a circle with the major axis of $C_1$ as its diameter intersects one of the asymptotes of $C_2$ at points A and B, and the two intersection points of $C_1$ with that asymptote trisect the segment AB, what is the eccentricity of $C_2$?
A. $\sqrt{5}$
B. 5
C. $\sqrt{17}$
D. $\frac{2{\sqrt{14}}}{7}$",
1933,"In the figure, given that quadrilateral ABCD has ∠A=45°, AD=4, and semicircle O with diameter AD is tangent to BC at point B, what is the area of the shaded region?
A. 4 $\sqrt { 2 }$
B. π+2
C. 4
D. 2 $\sqrt { 2 }$",
1934,Which of the following patterns is both an axis-symmetric figure and a central-symmetric figure? ( ),
1935,"In the figure, given that ∠BGF = 150°, what is the sum of ∠A + ∠B + ∠C + ∠D + ∠E + ∠F ( )?
A. 150°
B. 300°
C. 450°
D. 600°",
1936,"In the figure, a right triangle with a 30° angle has its two vertices placed on the opposite sides of a rectangle. If ∠1 = 27°, then ∠2 = °.",
1937,"In a cylindrical oil tank filled with some oil, the diameter MN of the tank is 10 decimeters. The cross-section is shown in the image, and the oil surface width AB is 6 decimeters. If some more oil is injected and the oil surface width changes to 8 decimeters, how much does the oil surface AB rise?
A. 1 decimeter
B. 4 decimeters
C. 3 decimeters
D. 1 decimeter or 7 decimeters",
1938,"In triangle ABC, ∠C=90°, AC=6cm, BC=8cm, the sector ODF is tangent to side BC at point E, and FO is perpendicular to AB at point O. Find the radius of sector ODF.",
1939,"As shown in Figure 1, this is a cubic blank. If it is cut along one set of opposite diagonals, half of it is removed, resulting in a workpiece as shown in Figure 2. For this workpiece, if the cross-section is the front view, then the correct top view is ( )
A. a
B. b
C. c
D. d",
1940,"As shown in the figure, the areas and perimeters of these two shapes are equal.______.",
1941,"In the figure (2002, Dongcheng District), AB and AC are two tangents to circle O, touching at points B and C respectively. Point D is on the arc BC. Given that ∠BAC = 80°, what is ∠BDC in degrees?",
1942,"A geometric solid's three views are shown in the figure: In the front view, triangle ABC has a side length of 2, forming an equilateral triangle, and the top view is a regular hexagon. What is the volume of this geometric solid? ( )
A. $\gimel$
B. $\frac { 3 } { 2 }$
C. $\sqrt { 3 }$
D. $\frac { \sqrt { 3 } } { 2 }$",
1943,"In the figure, it is known that \(EB \perp AD\), with the foot of the perpendicular being point \(F\). If \(∠C=40^{\circ}\) and \(∠E=25^{\circ}\), then \(∠A=\) ______.",
1944,"As shown in the figure, a student broke a triangular glass and now needs to take a piece of glass that is exactly the same to the glass shop. What should they bring?",
1945,"Given point P(-1, 2) and line segment AB with endpoints A(-2, -3) and B(4, 0), find the range of slopes for a line passing through P that intersects segment AB.",
1946,"In parallelogram ABCD, given that OE:OB = 1:3 and the area of triangle AOB is 30 cm², find the area of the shaded region.",
1947,"Given that OA is the radius of circle O, AB is a chord of circle O' with OA as its diameter, the extension of O'B intersects circle O at point C, OA = 4, and ∠OAB = 45°, find the area of the region enclosed by arcs AB, AC and line segment BC.",
1948,"The maximum distance between any two points in a closed planar region is called the ""diameter"" of that region. The ratio of the length of the boundary curve of the closed region to the diameter of the region is called the ""perimeter"" of the region. The perimeters of the four planar regions (shaded parts) from left to right are denoted as τ₁, τ₂, τ₃, and τ₄. Which of the following relationships is correct? ( )
A. τ₁ > τ₄ > τ₃ > τ₂
B. τ₃ > τ₄ > τ₁ > τ₂
C. τ₄ > τ₂ > τ₃ > τ₁
D. τ₃ > τ₂ > τ₄ > τ₁",
1949,"In the given figure, two semicircles and a sector share a common base of length 9, with a central angle of 60° for the sector. Calculate the area of the shaded region formed by their overlap.",
1950,Calculate the area of the shape (length units are in centimeters) (see figure) Answer: cm².,
1951,"In the rhombus \(ABCD\), given that \(\tan A= \dfrac {4}{3}\), points \(M\) and \(N\) are located on sides \(AD\) and \(BC\) respectively. When quadrilateral \(AMNB\) is folded along line \(MN\) such that the corresponding segment \(EF\) of \(AB\) passes through vertex \(D\), and when \(EF \perp AD\), what is the value of \( \dfrac {BN}{CN}\)?",
1952,"The three views of a geometric body formed by small cubic wooden blocks are shown in the figure. How many small cubic wooden blocks are used to form this geometric body? ( )
A. 6 blocks
B. 7 blocks
C. 8 blocks
D. 9 blocks",
1953,"In the figure, there is a geometric solid's front view and top view. Find the volume of this geometric solid. (Use \(\pi = 3.14\))",
1954,"Given the parabola M: $y^2 = 2x$, a circle centered at the origin with radius $t > 0$ intersects M in the first quadrant at point A and the positive y-axis at point B. Line AB intersects the x-axis at point C. Let the x-coordinate of point A be $x_1$, and let point D lie on M with x-coordinate $x_1 + 2$. Find the slope of line CD.",
1955,"(8 points) In the figure, points C and E are on sides BD and AB of triangle ABD, respectively, with AE = AD, CE = CD, ∠D = 70°, and ∠ECD = 150°. Find the degree measure of ∠B.",
1956,"As shown in the figure, the apex of the regular square pyramid P-ABCD lies on the same sphere, with the center of ABCD at E. The center O of the sphere lies on the segment PE, QA is perpendicular to the base ABCD and intersects the sphere at point Q. If the radius of the sphere is 2 and OE = 1, find the cosine of the dihedral angle B-PQ-D.",
1957,"A cube has a Chinese character on each face, and its net is shown in the image. What is the character opposite to the character '甲' in this cube?",
1958,"Using 9 squares with a side length of 5 cm to form the shape shown in the image, what is the perimeter of this shape in centimeters?",
1959,"A blimp hovers above a calm lake at a height of (100 + 50√3) meters. From the top of a mountain A, the angle of elevation to the blimp at point P is 45°, and the angle of depression to its reflection in the lake is 60°. Find the height h of the mountain.",
1960,"The image shows a top view of a tall building in the shape of a regular octagonal prism. Xiao Ming is observing the building from the ground. Among the four marked areas in the image, he can only see three side faces simultaneously from:",
1961,"In the figure, PA and PB are tangent to circle O at points A and B, respectively, with PA = 8. CD is tangent to circle O at point E, intersecting PA and PB at points C and D. What is the perimeter of triangle PCD?
A. 8
B. 18
C. 16
D. 14",
1962,"As shown in the figure, the area of the shaded part of the square with a side length of 10 cm is ___ square centimeters (take π as 3.14).",
1963,"How many right prisms are there among the following geometric bodies? ( )
A. 5
B. 4
C. 3
D. 2",
1964,"A geometric body is composed of several small cubes of the same size, as shown in the three views in the figure. How many small cubes make up this geometric body ( )
A. 4 cubes
B. 5 cubes
C. 6 cubes
D. 7 cubes",
1965,"In the feasible region shown (triangle ABC with A(2,0), B(5,1), C(4,2)), if the objective function z = x + ay achieves its minimum at infinitely many points, find the maximum value of y/(x - α), where α is determined such that the level lines of z are parallel to side AC.",
1966,"Given that the front view and side view of a certain geometric body are congruent isosceles trapezoids, and the top view consists of two concentric circles, what is the total surface area of the geometric body?",
1967,"As shown in Figure 1, in triangle ABC, CD is the altitude on side AB, and E and F are the midpoints of AC and BC, respectively. Now triangle ACD is folded along CD so that plane \( ACD \perp \) plane BCD (as shown in Figure 2). Which of the following conclusions is incorrect? ( )
AB // plane DEF
CD ⊥ plane ABD
EF ⊥ plane ACD
V_{C-ABD} = 4V_{C-DEF}",
1968,"In a warehouse, there are several stacked cubic boxes. It is difficult to move these boxes, but the warehouse manager wants to confirm the number of boxes. Therefore, he came up with a method: he drew three views of the stack of boxes. Can you help him count the number of boxes based on the three views? The number of cubic boxes is ( )
A. 6
B. 7
C. 8
D. 9",
1969,"As shown in the figure, folding circle O along chord MN, the arc just passes through the center O. Point A is a point on the minor arc MN. What is the degree measure of ∠MAN?
A. 150°
B. 135°
C. 120°
D. 105°",
1970,"In the figure, the side length of the squares on the grid paper is 1. The thick solid lines depict the three views of a certain polyhedron. What is the length of the longest edge among all the edges of this polyhedron?",
1971,"Xiao Ming's family accidentally broke a triangular piece of glass as shown in the image. Now, he needs to take one of the fragments to the glass shop to get a piece that matches the original shape and size. He should take ______. (Fill in the number ①, ②, ③)",
1972,The technology team created a plane model wing blueprint (as shown in the image). It consists of two identical trapezoids. What is its area in square centimeters?,
1973,"As shown in the figure, the incenter of triangle ABC is on the y-axis, with points B (0, 3) and C (3, 0). The equation of line AC is given by \( y = \frac{1}{3}x - 1 \). What is the value of \( \tan A \)?",
1974,"In the figure, AB is parallel to CD and CD is parallel to EF. Which of the following expressions equals 180°?
A. ∠X + ∠Y + ∠Z
B. ∠Y + ∠Z - ∠X
C. ∠X - ∠Y + ∠Z
D. ∠X + ∠Y - ∠Z",
1975,"In the square ABCD, points E, F, G, and H are the midpoints of each side, and O is the center of the square. Among the nine points A, E, B, F, C, G, D, H, and O, how many non-congruent triangles can be formed using any three of these points as vertices?",
1976,"A ship is located 60 degrees west of north from a lighthouse. Using the given scale, what is the actual distance from the lighthouse to the ship?",
1977,"Given the top view of a regular tetrahedron as shown in the figure, where quadrilateral ABCD is a square with a side length of 3, what is the surface area of the inscribed sphere of this regular tetrahedron?
A. 6π
B. 54π
C. 12π
D. 48π",
1978,"A straight ruler EF is pressed against the triangle at an angle of 30° at ∠BAC, intersecting the sides AC and AB at points M and N. What is the sum of ∠CME and ∠BNF? ( )
A. 150°
B. 180°
C. 135°
D. Cannot be determined",
1979,"The figure shows the three views of a geometric body. If its volume is \( \frac{4}{3} \), then \( a = \ .",
1980,"Given that AB is parallel to CD, what single condition can be added to ensure triangle ABF is congruent to triangle DEF?",
1981,"A square piece of paper is folded twice as shown in the image, and then a small circular hole is cut out. What will the shape look like when unfolded? ( )",
1982,"In the figure (1), \( \overset{ .}{OP}\) is a straight line, points \(A\) and \(B\) are on \( \overset{ .}{OP}\), and the ratios are given as \( \overset{ .}{OA}: \overset{ .}{AP}=1:3\) and \( \overset{ .}{OB}: \overset{ .}{BP}=3:5\). If point \(B\) is fixed first, and \( \overset{ .}{OB}\) is folded towards \( \overset{ .}{BP}\) so that \( \overset{ .}{OB}\) overlaps with \( \overset{ .}{BP}\), as shown in figure (2), and then the line is cut at point \(A\) and the overlapping point with \(A\), resulting in three segments, what is the ratio of the lengths of these three segments from smallest to largest? (2)
A. \(1\): \(1\): \(1\)
B. \(1\): \(1\): \(2\)
C. \(1\): \(2\): \(2\)
D. \(1\): \(2\): \(5\)",
1983,"As shown in the figure, two teaching buildings A and B are 1000m apart. It is planned to build a pedestrian path (i.e., line segment AB) between these two buildings. Measurements show that the artificial lake P is located at a direction of 30° east of north from building A and 45° west of north from building B. It is known that the area of the artificial lake is within a circular region with a radius of 500m centered at point P. The question is: will the planned pedestrian path cross the artificial lake, and why?",
1984,"In the figure (2015 Autumn Jiangyin City School-level Monthly Exam), triangles ABE and ACD are formed by folding triangle ABC along sides AB and AC by 180°. If ∠BAC = 145°, then ∠θ = ?",
1985,A rectangular sheet of iron is cut to form a cylindrical oil barrel with a base radius of 2 decimeters. What is the surface area of the oil barrel in square decimeters?,
1986,"In the figure, circles ⊙A and ⊙B are externally tangent at point D. PC, PD, and PE are tangents to the circles, with C, D, and E as the points of tangency. If ∠CED = $x$ ° and ∠ECD = $y$ °, and the radius of circle ⊙B is R, what is the length of arc $\hat{DE}$?
A. $\frac { \pi ( 90 - x ) R } { 90 }$
B. $\frac { \pi ( 90 - y ) R } { 90 }$
C. $\frac { \pi ( 180 - x ) R } { 180 }$
D. $\frac { \pi ( 180 - y ) R } { 180 }$",
1987,"In the figure, given that the diameter AB of circle O is perpendicular to chord CD at point E, which of the following conclusions is necessarily correct? ( )",
1988,"The figure shows the three views of a geometric body. If its volume is \( \frac{4}{3} \), then \( a = \) .",
1989,The running track of a certain school's playground consists of two long rectangular sides and two semicircles. What is the length of one lap around the track?,
1990,"As shown in the figure, through the hyperbola function $y= \dfrac{k}{x}$, three points $A$, $B$, $C$ form a right triangle and rectangle. In the figure, $S_{1}+S_{2}=5$. Then $S_{3}=$________.",
1991,"Using small cubes to build a geometric figure, such that its front view and top view are as shown in the image, what is the minimum number of cubes required?",
1992,"As shown in the figure, the line $l$ passes through the second, third, and fourth quadrants. The angle of inclination of $l$ is $\alpha$, and the slope is $k$. Then ( ).
A. $k\sin\alpha>0$
B. $k\cos\alpha>0$
C. $k\sin\alpha<0$
D. $k\cos\alpha<0$",
1993,"In triangle ABC, point B is the land command center, point A is the 'China Fishery Administration 310' vessel, and point C is the location of the fishing boats. From B, A is located at a bearing of 60° east of south. From A, C is located directly southwest. Given AB = \frac{140\sqrt{6}}{3} nautical miles and the vessel's maximum speed is 20 nautical miles/hour, calculate the time required for the vessel at A to reach point C.",
1994,"In the figure, the equilateral triangle \( \triangle ABC \) is inscribed in circle \( O \). Line \( BD \) is tangent to circle \( O \) at point \( B \), and line \( AD \) is perpendicular to line \( BD \) at point \( D \). Line \( AD \) intersects circle \( O \) at point \( E \). The radius of circle \( O \) is 1. What is the length of \( AE \)?
A. 3
B. 1
C. 2
D. 4",
1995,"In the figure, AB is the diameter of circle O, and AB = 4. Angle AC = 10°, angle BD = 70°. Point P is a moving point on diameter AB. What is the minimum value of CP + DP?",
1996,"One afternoon, Xiao Hong first participated in the women's 100m race at the school sports meeting, and after a while, she participated in the women's 400m race. The following statements are correct:
A. Photo B is from the 100m race
B. Photo A is from the 100m race
C. Photo B is from the 400m race
D. It is impossible to determine the photos A and B",
1997,"As shown in the figure, placing the right-angle vertex of a triangular ruler with a 30° angle on one of two parallel lines, if ∠1 = 35°, then the degree measure of ∠2 is \( \) .",
1998,"In trapezoid ABCD, the diagonals AC and BD intersect at point O. A line passing through point O intersects the upper and lower bases at points E and F, respectively. What is the number of segments in the figure that have the same ratio as OE: OF?
A. 4
B. 5
C. 7
D. 8",
1999,"A solid shape is formed by stacking several small cubes, and its three views are shown in the figure. How many small cubes make up this solid shape?",
